Symptoms,Disease
"sweating, dizziness, vomiting, diarrhea,4",Influenza
"muscle pain, fatigue, appetite loss,3",Hypertension
"headache, cough, chest pain, swelling, fatigue, depression,6",Migraine
"weight loss, chest pain, headache,3",Gastritis
"insomnia, anxiety, blurred vision, abdominal pain, weight loss, headache,6",Gastritis
"headache, vomiting, abdominal pain, muscle pain,4",Allergy
"weight loss, diarrhea, muscle pain, shortness of breath, sweating, vomiting, insomnia,7",Obesity
"blurred vision, muscle pain, depression, swelling,4",Ulcer
"joint pain, dizziness, appetite loss, sneezing, fatigue, weight gain, rash,7",Diabetes
"anxiety, cough, fever, sneezing,4",Arthritis
"vomiting, nausea, sweating, fever, cough, swelling,6",Ulcer
"dizziness, weight gain, shortness of breath, fatigue, diarrhea, back pain,6",IBS
"abdominal pain, appetite loss, sore throat,3",Obesity
"sneezing, diarrhea, shortness of breath, rash,4",Depression
"fatigue, weight loss, vomiting, shortness of breath, sore throat,5",Tuberculosis
"sweating, weight loss, headache, muscle pain, insomnia, rash,6",Sinusitis
"back pain, nausea, cough, weight gain,4",Thyroid Disorder
"headache, anxiety, appetite loss, runny nose, insomnia, shortness of breath, vomiting,7",Bronchitis
"weight gain, rash, anxiety,3",Heart Disease
"fatigue, blurred vision, vomiting,3",IBS
"sneezing, sweating, weight loss, appetite loss, depression,5",Tuberculosis
"appetite loss, abdominal pain, sweating, insomnia, depression, shortness of breath,6",Food Poisoning
"fever, weight loss, nausea, chest pain, blurred vision, dizziness, sneezing,7",Dermatitis
"weight gain, cough, abdominal pain, headache, runny nose, vomiting, shortness of breath,7",Anemia
"depression, shortness of breath, muscle pain, fever, sweating,5",Parkinson's
"fatigue, rash, depression, sore throat,4",Heart Disease
"weight loss, swelling, blurred vision, back pain, fever, anxiety, depression,7",Hypertension
"nausea, back pain, insomnia, blurred vision,4",Obesity
"cough, depression, runny nose, blurred vision, tremors,5",Gastritis
"blurred vision, fatigue, tremors,3",Chronic Kidney Disease
"nausea, weight loss, muscle pain, fatigue,4",Chronic Kidney Disease
"appetite loss, sweating, anxiety, cough, joint pain, muscle pain,6",Diabetes
"muscle pain, swelling, fever, sneezing,4",Dementia
"anxiety, shortness of breath, sore throat,3",IBS
"rash, joint pain, sweating, sneezing, swelling,5",Stroke
"dizziness, fatigue, sweating, back pain, muscle pain,5",Depression
"dizziness, shortness of breath, anxiety,3",Dermatitis
"swelling, nausea, chest pain, blurred vision, headache, joint pain,6",Gastritis
"blurred vision, joint pain, swelling, muscle pain, chest pain, weight loss, sore throat,7",Chronic Kidney Disease
"chest pain, sneezing, weight loss,3",Pneumonia
"rash, depression, blurred vision, appetite loss, weight gain,5",Anemia
"weight loss, rash, sore throat, runny nose,4",Gastritis
"diarrhea, vomiting, abdominal pain, insomnia, chest pain, shortness of breath,6",Tuberculosis
"sore throat, appetite loss, insomnia, joint pain, fatigue, dizziness,6",Ulcer
"back pain, rash, blurred vision,3",Heart Disease
"rash, fever, runny nose, sweating,4",Diabetes
"cough, shortness of breath, sneezing, insomnia, diarrhea, weight gain,6",Arthritis
"fever, tremors, vomiting, chest pain, weight loss,5",Dementia
"appetite loss, fever, sneezing, rash, cough, swelling,6",COVID-19
"joint pain, diarrhea, dizziness, swelling,4",Arthritis
"runny nose, sore throat, swelling, chest pain, fever,5",Dermatitis
"chest pain, swelling, dizziness, fatigue, insomnia, joint pain, fever,7",Chronic Kidney Disease
"depression, tremors, headache, abdominal pain,4",Thyroid Disorder
"anxiety, muscle pain, fever,3",Hypertension
"weight loss, rash, cough,3",Parkinson's
"fever, cough, sneezing, muscle pain,4",Obesity
"tremors, nausea, appetite loss, chest pain, sore throat,5",Parkinson's
"vomiting, fatigue, abdominal pain, rash,4",Migraine
"blurred vision, weight loss, shortness of breath, joint pain, diarrhea, muscle pain, appetite loss,7",Anemia
"runny nose, abdominal pain, joint pain, back pain, headache, weight loss, vomiting,7",Sinusitis
"muscle pain, depression, headache, fever, chest pain, tremors,6",Dementia
"tremors, anxiety, fever,3",Anemia
"vomiting, weight loss, nausea,3",Obesity
"fever, muscle pain, insomnia, back pain, cough, sweating, chest pain,7",Gastritis
"weight gain, blurred vision, swelling, chest pain, abdominal pain,5",Dermatitis
"shortness of breath, runny nose, sweating, fever, cough,5",Dementia
"weight gain, swelling, tremors, muscle pain, appetite loss, weight loss, rash,7",Dementia
"sore throat, muscle pain, sweating, nausea,4",Stroke
"tremors, nausea, chest pain, weight gain, dizziness, joint pain,6",Anxiety
"joint pain, muscle pain, headache, vomiting, fever,5",Anemia
"headache, tremors, insomnia, muscle pain, back pain, vomiting,6",Tuberculosis
"muscle pain, runny nose, appetite loss, depression,4",IBS
"headache, sore throat, diarrhea,3",Obesity
"sweating, nausea, rash,3",Thyroid Disorder
"headache, insomnia, abdominal pain, rash,4",Common Cold
"muscle pain, dizziness, vomiting, appetite loss, depression, joint pain,6",Hypertension
"abdominal pain, swelling, sore throat, depression, sneezing,5",Dementia
"sneezing, swelling, insomnia, headache,4",Depression
"dizziness, sneezing, tremors,3",IBS
"dizziness, shortness of breath, headache, weight loss,4",Dermatitis
"fatigue, headache, cough, insomnia, vomiting,5",Heart Disease
"sweating, runny nose, diarrhea,3",Tuberculosis
"appetite loss, cough, diarrhea, blurred vision, abdominal pain,5",Chronic Kidney Disease
"muscle pain, cough, weight gain,3",Epilepsy
"sweating, sore throat, shortness of breath, vomiting,4",Parkinson's
"dizziness, fatigue, headache, sneezing,4",Influenza
"diarrhea, sore throat, weight gain, anxiety, appetite loss, vomiting,6",Diabetes
"appetite loss, nausea, shortness of breath, dizziness, back pain,5",Heart Disease
"runny nose, fever, sore throat, weight gain, anxiety, headache,6",COVID-19
"rash, runny nose, fever, fatigue, tremors,5",Sinusitis
"fever, nausea, back pain,3",Ulcer
"fever, tremors, diarrhea, appetite loss,4",Heart Disease
"vomiting, depression, back pain, fever, headache,5",Dermatitis
"swelling, blurred vision, weight gain, depression, runny nose, nausea,6",COVID-19
"chest pain, weight gain, headache, diarrhea, nausea, cough,6",Hypertension
"diarrhea, swelling, joint pain, sweating, abdominal pain, cough,6",Sinusitis
"rash, runny nose, depression, shortness of breath, weight loss,5",Sinusitis
"fever, depression, dizziness, abdominal pain, chest pain,5",Bronchitis
"weight gain, cough, tremors, nausea,4",Diabetes
"vomiting, blurred vision, insomnia, sneezing, dizziness, headache, sweating,7",Food Poisoning
"cough, weight gain, sweating, weight loss, anxiety, chest pain, sore throat,7",Liver Disease
"appetite loss, nausea, rash,3",COVID-19
"joint pain, shortness of breath, diarrhea,3",Pneumonia
"weight loss, muscle pain, joint pain, rash, fever, cough,6",Obesity
"blurred vision, shortness of breath, tremors, sweating, fatigue, weight loss, sneezing,7",Ulcer
"fatigue, dizziness, insomnia, anxiety, rash, weight gain,6",Migraine
"fatigue, muscle pain, shortness of breath, chest pain, weight loss, blurred vision, insomnia,7",Influenza
"insomnia, fever, weight gain, rash, dizziness, anxiety,6",Depression
"runny nose, fever, chest pain,3",Parkinson's
"joint pain, weight loss, insomnia, abdominal pain, back pain, headache, diarrhea,7",Liver Disease
"headache, swelling, sneezing, depression, vomiting, insomnia, fatigue,7",Bronchitis
"sneezing, tremors, fatigue,3",Parkinson's
"sneezing, fatigue, rash,3",Dermatitis
"joint pain, anxiety, back pain, chest pain, sweating,5",IBS
"weight loss, fatigue, appetite loss, back pain, joint pain, swelling, headache,7",Asthma
"runny nose, tremors, rash,3",Migraine
"appetite loss, muscle pain, headache,3",Allergy
"back pain, chest pain, weight gain, fever,4",Dementia
"cough, headache, diarrhea, nausea, weight loss,5",Ulcer
"swelling, depression, anxiety, vomiting, diarrhea,5",Asthma
"insomnia, sore throat, vomiting,3",Food Poisoning
"appetite loss, blurred vision, sore throat, tremors, nausea,5",Influenza
"insomnia, appetite loss, joint pain, fatigue, fever, weight loss,6",Anemia
"vomiting, anxiety, nausea, weight gain,4",Pneumonia
"dizziness, sneezing, nausea, fever, depression, blurred vision,6",Obesity
"appetite loss, fever, tremors,3",Sinusitis
"sore throat, chest pain, weight gain, depression, insomnia,5",Sinusitis
"cough, joint pain, sneezing, dizziness, back pain,5",Obesity
"sweating, blurred vision, cough, chest pain, appetite loss, fatigue,6",COVID-19
"chest pain, insomnia, appetite loss, nausea, fatigue, rash, fever,7",Food Poisoning
"swelling, runny nose, rash, muscle pain, dizziness, chest pain, depression,7",Anxiety
"joint pain, weight gain, sneezing, tremors,4",Pneumonia
"insomnia, abdominal pain, fever, back pain, vomiting,5",Ulcer
"weight gain, cough, rash, anxiety, sore throat, fatigue,6",Dementia
"headache, dizziness, cough,3",Thyroid Disorder
"weight loss, sweating, cough,3",Thyroid Disorder
"shortness of breath, cough, blurred vision, fever, muscle pain, back pain,6",Gastritis
"tremors, nausea, sore throat, muscle pain, fever,5",Food Poisoning
"diarrhea, sneezing, rash, blurred vision, nausea, weight gain,6",Migraine
"runny nose, diarrhea, cough, muscle pain,4",Liver Disease
"runny nose, insomnia, cough,3",Tuberculosis
"weight loss, sore throat, runny nose, appetite loss, sweating,5",Dermatitis
"shortness of breath, diarrhea, rash, tremors, weight gain, insomnia,6",Sinusitis
"cough, fatigue, sore throat, joint pain, insomnia, abdominal pain, shortness of breath,7",Diabetes
"muscle pain, fever, depression, swelling, rash, sneezing,6",Ulcer
"fever, muscle pain, depression, joint pain, blurred vision, runny nose, diarrhea,7",Parkinson's
"headache, swelling, back pain, weight loss, anxiety, sneezing,6",Common Cold
"sneezing, dizziness, fever, depression, rash,5",Liver Disease
"swelling, fatigue, weight loss, abdominal pain,4",Tuberculosis
"sore throat, dizziness, muscle pain, headache, appetite loss, shortness of breath,6",Chronic Kidney Disease
"cough, fatigue, dizziness, sneezing, sore throat,5",Migraine
"chest pain, vomiting, runny nose, depression, muscle pain, headache,6",Bronchitis
"fatigue, diarrhea, weight gain,3",Tuberculosis
"sweating, joint pain, nausea,3",Thyroid Disorder
"rash, fatigue, runny nose, cough, anxiety, dizziness, abdominal pain,7",Dementia
"weight gain, fatigue, appetite loss, dizziness,4",Anxiety
"weight loss, joint pain, insomnia,3",Anxiety
"dizziness, appetite loss, anxiety, nausea, shortness of breath,5",Migraine
"fatigue, dizziness, runny nose,3",Allergy
"cough, fatigue, fever, back pain, insomnia, depression, shortness of breath,7",Epilepsy
"anxiety, vomiting, runny nose, weight loss,4",Anxiety
"nausea, vomiting, shortness of breath, swelling,4",COVID-19
"weight loss, vomiting, shortness of breath, joint pain, rash, appetite loss,6",Thyroid Disorder
"fever, sore throat, sweating, rash, diarrhea, dizziness,6",Anxiety
"weight gain, blurred vision, appetite loss, swelling, joint pain, anxiety, fatigue,7",Depression
"sneezing, vomiting, nausea, cough,4",Heart Disease
"shortness of breath, sweating, vomiting, chest pain, blurred vision,5",Anemia
"vomiting, chest pain, muscle pain, joint pain,4",Parkinson's
"tremors, weight gain, headache, joint pain, abdominal pain, chest pain, weight loss,7",Gastritis
"back pain, headache, insomnia, vomiting, weight loss, blurred vision,6",Tuberculosis
"weight loss, back pain, abdominal pain, sneezing, sore throat,5",Ulcer
"swelling, appetite loss, headache, vomiting,4",Diabetes
"dizziness, diarrhea, insomnia, sweating,4",Liver Disease
"tremors, swelling, rash, runny nose, fatigue, shortness of breath,6",Diabetes
"insomnia, abdominal pain, sneezing, fever, vomiting,5",Thyroid Disorder
"tremors, fatigue, headache, shortness of breath, swelling,5",Depression
"blurred vision, joint pain, shortness of breath,3",Thyroid Disorder
"weight gain, joint pain, blurred vision,3",COVID-19
"diarrhea, anxiety, depression, cough, muscle pain,5",Dementia
"muscle pain, chest pain, fever, joint pain, swelling, back pain,6",Influenza
"anxiety, sneezing, fever, sore throat,4",Dementia
"anxiety, diarrhea, runny nose, blurred vision, joint pain, sore throat, back pain,7",Dementia
"swelling, weight gain, diarrhea, back pain, tremors, muscle pain,6",Influenza
"abdominal pain, weight loss, diarrhea, blurred vision, anxiety, muscle pain,6",Food Poisoning
"shortness of breath, cough, diarrhea, back pain, fatigue, joint pain, sweating,7",Common Cold
"muscle pain, blurred vision, swelling, sore throat, weight loss, nausea, fatigue,7",Influenza
"dizziness, insomnia, sore throat, diarrhea, weight gain, sneezing, joint pain,7",Influenza
"headache, runny nose, fatigue, joint pain, sore throat,5",IBS
"runny nose, swelling, muscle pain,3",Bronchitis
"cough, swelling, vomiting, weight loss, fever,5",Chronic Kidney Disease
"fatigue, dizziness, abdominal pain,3",Asthma
"swelling, rash, joint pain, blurred vision, nausea, abdominal pain, sweating,7",Food Poisoning
"cough, sneezing, insomnia, fever, anxiety,5",Sinusitis
"abdominal pain, appetite loss, sweating, anxiety, muscle pain,5",Stroke
"anxiety, vomiting, sneezing, insomnia, joint pain, headache, depression,7",Stroke
"fatigue, fever, cough,3",Dermatitis
"tremors, depression, shortness of breath, fever, dizziness,5",Anemia
"runny nose, nausea, fatigue,3",Arthritis
"sweating, weight loss, depression, cough, runny nose,5",Liver Disease
"sweating, appetite loss, anxiety, cough, swelling, fatigue, vomiting,7",Chronic Kidney Disease
"chest pain, tremors, fever, blurred vision,4",Dementia
"tremors, fever, chest pain, dizziness,4",Chronic Kidney Disease
"shortness of breath, appetite loss, swelling, sweating,4",Heart Disease
"depression, rash, blurred vision, headache, appetite loss,5",Liver Disease
"tremors, nausea, diarrhea, headache, vomiting, sweating, joint pain,7",COVID-19
"shortness of breath, headache, sweating, dizziness,4",Migraine
"sore throat, cough, weight gain, nausea, sweating,5",Heart Disease
"insomnia, runny nose, joint pain, shortness of breath,4",IBS
"weight loss, joint pain, weight gain, depression, headache, fever, diarrhea,7",Common Cold
"dizziness, weight gain, diarrhea, depression, sneezing,5",IBS
"blurred vision, tremors, sneezing, diarrhea,4",Anemia
"blurred vision, shortness of breath, joint pain,3",Stroke
"rash, shortness of breath, back pain, sneezing,4",Anxiety
"weight loss, blurred vision, appetite loss, diarrhea, back pain, sneezing, fatigue,7",Diabetes
"depression, diarrhea, blurred vision, tremors, appetite loss, anxiety,6",Common Cold
"cough, sore throat, fever,3",Tuberculosis
"blurred vision, swelling, runny nose, tremors, fatigue,5",Liver Disease
"weight gain, abdominal pain, vomiting, sneezing, runny nose, diarrhea, rash,7",Allergy
"insomnia, weight loss, swelling, sore throat, vomiting, nausea, fatigue,7",Bronchitis
"fatigue, fever, insomnia, anxiety, appetite loss,5",Food Poisoning
"sweating, diarrhea, insomnia, muscle pain, cough,5",Thyroid Disorder
"swelling, headache, rash, depression, weight loss,5",Obesity
"rash, insomnia, sneezing, anxiety, weight loss, fever, headache,7",Food Poisoning
"vomiting, chest pain, fever, dizziness, appetite loss, weight loss,6",Dementia
